date,donations,donationsDelta,donationsReceived,name,tag,trophies
2018-03-19 15:15:00,123.0,43.0,80.0,Adrypok,20RVR029R,4527.0
2018-03-19 15:15:00,46.0,6.0,40.0,Shiuvan,22GQPCJJP,4475.0
2018-03-19 15:15:00,130.0,50.0,80.0,TheSonicSliver,9LG8QV2G,4410.0
2018-03-19 15:15:00,260.0,180.0,80.0,Nakakata,8G2JCQ0Q2,4382.0
2018-03-19 15:15:00,18.0,-22.0,40.0,Oliver,99888JG,4320.0
2018-03-19 15:15:00,45.0,-35.0,80.0,Xernakam,Y2UV98Y0,4314.0
2018-03-19 15:15:00,110.0,30.0,80.0,Eisenheim,80QQVCQ8G,4307.0
2018-03-19 15:15:00,34.0,-46.0,80.0,AndreQuadros,2P92YJC,4294.0
2018-03-19 15:15:00,67.0,-13.0,80.0,Asgarabaddad,PQ0LL9Y2,4261.0
2018-03-19 15:15:00,80.0,-10.0,90.0,Skoy,8RLVV20PY,4255.0
2018-03-19 15:15:00,142.0,62.0,80.0,mitch,GUG2QYPY,4248.0
2018-03-19 15:15:00,48.0,8.0,40.0,Carlucciello,J0JV0C8,4241.0
2018-03-19 15:15:00,78.0,38.0,40.0,pacheko,UYC0QU8,4227.0
2018-03-19 15:15:00,0.0,0.0,0.0,Raf ó Pipistrel,PQ2LULU,4210.0
2018-03-19 15:15:00,46.0,-34.0,80.0,El Mariachi,RUJL8R9Y,4183.0
2018-03-19 15:15:00,81.0,2.0,79.0,Rixy,LGV2GR0P,4133.0
2018-03-19 15:15:00,0.0,0.0,0.0,eiirp,GU8YYUPL,4086.0
2018-03-19 15:15:00,20.0,-20.0,40.0,PEKKATORE,89YRQ9R0P,4069.0
2018-03-19 15:15:00,68.0,28.0,40.0,.:*AduVaN4Ik*:.,2PYJLLCU,4067.0
2018-03-19 15:15:00,70.0,-10.0,80.0,maurito,2V98CPRV,4066.0
2018-03-19 15:15:00,26.0,-14.0,40.0,cartero,LQ2U2V2Y,4066.0
2018-03-19 15:15:00,0.0,0.0,0.0,Massi,2Q90G92R,4065.0
2018-03-19 15:15:00,54.0,-26.0,80.0,dani11cali,9JUUVUL2,4058.0
2018-03-19 15:15:00,30.0,-10.0,40.0,peppebusa,L0800PY9,4055.0
2018-03-19 15:15:00,24.0,-16.0,40.0,macomaco,UJP8LVUL,4041.0
2018-03-19 15:15:00,116.0,36.0,80.0,moonknight1402,LC2JPCQ,4040.0
2018-03-19 15:15:00,54.0,-26.0,80.0,antonio,URG2UJJ2,4028.0
2018-03-19 15:15:00,10.0,-30.0,40.0,TopAngy,JCPYJLVG,4022.0
2018-03-19 15:15:00,48.0,-32.0,80.0,sydmirror,82UUP9QLR,3990.0
2018-03-19 15:15:00,68.0,-12.0,80.0,ninonà,LJ2P2UJQ,3978.0
2018-03-19 15:15:00,0.0,0.0,0.0,AndiGarcia,PCLR990U,3974.0
2018-03-19 15:15:00,0.0,-40.0,40.0,Ivan,CGP89PV0,3973.0
2018-03-19 15:15:00,62.0,22.0,40.0,sally snow,LR82Q9C9,3970.0
2018-03-19 15:15:00,77.0,-3.0,80.0,Karma,2QJU2YY92,3960.0
2018-03-19 15:15:00,90.0,50.0,40.0,cippi03,PGQVY99V,3936.0
2018-03-19 15:15:00,0.0,0.0,0.0,prince,9C9VJLJC,3921.0
2018-03-19 15:15:00,0.0,-40.0,40.0,JoWood,2CGJVY0Q,3907.0
2018-03-19 15:15:00,40.0,0.0,40.0,Red,2CPR9L20,3904.0
2018-03-19 15:15:00,18.0,-62.0,80.0,siraxl,RR0RUV,3866.0
2018-03-19 15:15:00,36.0,-4.0,40.0,Daddorix,RRJPLUVU,3846.0
2018-03-19 15:15:00,11.0,-69.0,80.0,$imone04,PCGG9QLG,3837.0
