tag,name,trophies,donations,donationsReceived,donationsDelta,date
20RVR029R,Adrypok,4527,123,80,43,2018-03-19 15:15:00
22GQPCJJP,Shiuvan,4475,46,40,6,2018-03-19 15:15:00
9LG8QV2G,TheSonicSliver,4410,130,80,50,2018-03-19 15:15:00
8G2JCQ0Q2,Nakakata,4382,260,80,180,2018-03-19 15:15:00
99888JG,Oliver,4320,18,40,-22,2018-03-19 15:15:00
Y2UV98Y0,Xernakam,4314,45,80,-35,2018-03-19 15:15:00
80QQVCQ8G,Eisenheim,4307,110,80,30,2018-03-19 15:15:00
2P92YJC,AndreQuadros,4294,34,80,-46,2018-03-19 15:15:00
PQ0LL9Y2,Asgarabaddad,4261,67,80,-13,2018-03-19 15:15:00
8RLVV20PY,Skoy,4255,80,90,-10,2018-03-19 15:15:00
GUG2QYPY,mitch,4248,142,80,62,2018-03-19 15:15:00
J0JV0C8,Carlucciello,4241,48,40,8,2018-03-19 15:15:00
UYC0QU8,pacheko,4227,78,40,38,2018-03-19 15:15:00
PQ2LULU,Raf ó Pipistrel,4210,0,0,0,2018-03-19 15:15:00
RUJL8R9Y,El Mariachi,4183,46,80,-34,2018-03-19 15:15:00
LGV2GR0P,Rixy,4133,81,79,2,2018-03-19 15:15:00
GU8YYUPL,eiirp,4086,0,0,0,2018-03-19 15:15:00
89YRQ9R0P,PEKKATORE,4069,20,40,-20,2018-03-19 15:15:00
2PYJLLCU,.:*AduVaN4Ik*:.,4067,68,40,28,2018-03-19 15:15:00
2V98CPRV,maurito,4066,70,80,-10,2018-03-19 15:15:00
LQ2U2V2Y,cartero,4066,26,40,-14,2018-03-19 15:15:00
2Q90G92R,Massi,4065,0,0,0,2018-03-19 15:15:00
9JUUVUL2,dani11cali,4058,54,80,-26,2018-03-19 15:15:00
L0800PY9,peppebusa,4055,30,40,-10,2018-03-19 15:15:00
UJP8LVUL,macomaco,4041,24,40,-16,2018-03-19 15:15:00
LC2JPCQ,moonknight1402,4040,116,80,36,2018-03-19 15:15:00
URG2UJJ2,antonio,4028,54,80,-26,2018-03-19 15:15:00
JCPYJLVG,TopAngy,4022,10,40,-30,2018-03-19 15:15:00
82UUP9QLR,sydmirror,3990,48,80,-32,2018-03-19 15:15:00
LJ2P2UJQ,ninonà,3978,68,80,-12,2018-03-19 15:15:00
PCLR990U,AndiGarcia,3974,0,0,0,2018-03-19 15:15:00
CGP89PV0,Ivan,3973,0,40,-40,2018-03-19 15:15:00
LR82Q9C9,sally snow,3970,62,40,22,2018-03-19 15:15:00
2QJU2YY92,Karma,3960,77,80,-3,2018-03-19 15:15:00
PGQVY99V,cippi03,3936,90,40,50,2018-03-19 15:15:00
9C9VJLJC,prince,3921,0,0,0,2018-03-19 15:15:00
2CGJVY0Q,JoWood,3907,0,40,-40,2018-03-19 15:15:00
2CPR9L20,Red,3904,40,40,0,2018-03-19 15:15:00
RR0RUV,siraxl,3866,18,80,-62,2018-03-19 15:15:00
RRJPLUVU,Daddorix,3846,36,40,-4,2018-03-19 15:15:00
PCGG9QLG,$imone04,3837,11,80,-69,2018-03-19 15:15:00
LVGP9Q9G,Porkys,3803,0,0,0,2018-03-19 15:15:00
J892LVVU,hdd Crew,3793,36,80,-44,2018-03-19 15:15:00
2QPCJ9CV9,Lord Albert,3775,102,40,62,2018-03-19 15:15:00
ULGLPPP9,ciupi,3752,25,40,-15,2018-03-19 15:15:00
JGR8Q9U,Slang,3695,56,40,16,2018-03-19 15:15:00
2PQVUC0PV,ramelotto,3671,0,0,0,2018-03-19 15:15:00
20RVR029R,Adrypok,4527,123,80,43,2018-03-19 15:17:00
22GQPCJJP,Shiuvan,4475,46,40,6,2018-03-19 15:17:00
9LG8QV2G,TheSonicSliver,4410,130,80,50,2018-03-19 15:17:00
8G2JCQ0Q2,Nakakata,4382,260,80,180,2018-03-19 15:17:00
99888JG,Oliver,4320,18,40,-22,2018-03-19 15:17:00
Y2UV98Y0,Xernakam,4314,45,80,-35,2018-03-19 15:17:00
80QQVCQ8G,Eisenheim,4307,110,80,30,2018-03-19 15:17:00
2P92YJC,AndreQuadros,4294,34,80,-46,2018-03-19 15:17:00
